address,latitude,longitude,Bank
RS PANTI RAPIH 1 JL CIK DI TIRO NO 30 YOGYAKARTA,-7.776400000,110.376400000,BCA
"KOTA JATI JEPARA JL. RAYA JEPARA BANGSRI, KM 6,5 - JEPARA",-6.552853000,110.692681000,BCA
"ALFAMART KALIURANG KM 8,1 CRM 1 JL KALIURANG 8,1 NO 72 SLEMAN",-7.737351000,110.393739000,BCA
"INDOMARET KALIURANG KM 8,3 JL. KALIURANG KM 8,3 PRUJAKAN YOGYAKARTA",-7.735700000,110.394700000,BCA
PASAR BERINGHARJO 2 JL A YANI NO 16 NGUPASAN GONDOMAN YOGYAKARTA,-7.799300000,110.367000000,BCA
PASAR BERINGHARJO 1 JL A YANI NO 16 NGUPASAN GONDOMAN YOGYAKARTA,-7.799300000,110.367000000,BCA
"NEW DM 07 SUPERMARKET 1 JL BANTUL KM7 KALIPUTIH PENDOWOHARDJO, SEWON, BANTUL",-7.853500000,110.342200000,BCA
"INDOMARET KALIURANG KM 9 SLEMAN JL KALIURANG KM 9,3 KLABANAN, SINDUHARJO, NGAGLIK, SLEMAN",-7.728200000,110.398700000,BCA
GIANT SPM SUKARNO HATTA PALEMBANG JL BY PASS ALANG ALANG LEBAR KOMPLEK CITRA TIMUR MANDIRI COMMERCIAL ESTA KEL TALANG KELAPA KEC ALANG ALANG LEBAR PALEMBANG,-2.935400000,104.702300000,BCA
BANTUL CRM 1 JL SUDIRMAN NO 74 KEC BANTUL YOGYAKARTA,-7.782559700,110.375476100,BCA
BANTUL CRM 2 JL SUDIRMAN NO 74 KEC BANTUL YOGYAKARTA,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 1 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 2 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 3 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 4 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 5 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 6 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 7 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
ATM TERPADU YOGJA CRM 8 JL JEND SUDIRMAN 49-51 - YOGYAKARTA - 55223,-7.782559700,110.375476100,BCA
UNIVERSITAS GAJAH MADA CRM 1 JL PROF DR MR DRS NOTONEGORO BULAKSUMUR YOGYA,-7.782559700,110.375476100,BCA
"UNIV ATMAJAYA YGK CRM 1 UNIV ATMAJAYA, JL BABARSARI, DI YOGYAKARTA",-7.782559700,110.375476100,BCA
"ADISUCIPTO CRM 1 JL LAKSDA ADI SUCIPTO KM 6, JANTI, CATURTUNGGAL, S",-7.782559700,110.375476100,BCA
"ADISUCIPTO CRM 2 JL LAKSDA ADI SUCIPTO KM 6, JANTI, CATURTUNGGAL, S",-7.782559700,110.375476100,BCA
"BCA EXPRESS UNY CRM 1 PLAZA UNY, JL AFFANDI NO 5 YOGYAKARTA",-7.782559700,110.375476100,BCA
"ALFAMIDI KALIURANG CRM 1 JL KALIURANG KM 9, SLEMAN, YOGYAKARTA",-7.728500000,110.399100000,BCA
"SAMITEX SEWON 1 JL RAYA BANTUL KM 3,5, SEWON, BANTUL,YOGYAKARTA",-7.826550000,110.356400000,BCA
TOKO PROGO JL. SRIWEDARI NO. 8 - YOGYAKARTA,-7.798845000,110.369310000,BCA
"TOKO MAS SEMAR BANTUL YOGYAKARTA CRM 1 JL JENDRAL SUDIRMAN NO 79 WARUNG, BANTUL YOGYAKARTA",-7.884702900,110.329448200,BCA
"RUKO KH BURLIAN JL. KH. BURLIAN, PALEMBANG",-2.926100000,104.713900000,BCA
VOKASI UNIVERSITAS GAJAH MADA 1 JL SEKIP UNIT I BULAKSUMUR CATUR TUNGGAL YOGYAKARTA,-7.774900000,110.380200000,BCA
"INDOMARET JEPARA I JL JEPARA KUDUS KM 4,5 TAHUNAN JEPARA",-6.615424000,110.689536000,BCA
KOL H BURLIAN CRM 1 JL KOL H BURLIAN RUKO KELAPA GADING PALEMBANG,-2.925684324,104.713029600,BCA
KOL H BURLIAN CRM 2 JL KOL H BURLIAN RUKO KELAPA GADING PALEMBANG,-2.925684324,104.713029600,BCA
KOL H BURLIAN CRM 3 JL KOL H BURLIAN RUKO KELAPA GADING PALEMBANG,-2.925684324,104.713029600,BCA
"ALFAMART KALIURANG KM 11,5 JL KALIURANG KM 11,5, NGAGLIK, SLEMAN",-7.708700000,110.409700000,BCA
"ALFAMART HAYAM WURUK YOG JL HAYAM WURUK NO 74 RT 18/05, BAUSASRAN, DANUREJAN, YOGYAKARTA",-7.792700000,110.373400000,BCA
INDOMARET PROF YOHANES CRM 1 JL PROF YOHANES GK V NO 988 YOGYAKARTA,-7.778574000,110.379769000,BCA
"INDOMARET HAYAM WURUK YOGYAKARTA JL HAYAM WURUK NO 16, DANUREJAN, YOGYAKARTA",-7.795500000,110.372700000,BCA
INDOMARET UMBULMARTANI JL KALIURANG KM 14 NGEMPLAK SLEMAN,-7.688500000,110.418800000,BCA
"INDOMARET JAKAL 2 KL KALIURANG KM 12,5 NO 12 SLEMAN YOGYAKARTA",-7.703020000,110.413320000,BCA
PURNAMA SWALAYAN JL. PRAMUKA NO. 3 BANTUL YOGYAKARTA,-7.879900000,110.334400000,BCA
"JOGJATRONIK 1 JL. BRIGJEN KATAMSO 75-77, YOGYAKARTA",-7.805500000,110.369200000,BCA
"JOGJATRONIK 2 JL. BRIGJEN KATAMSO 75-77, YOGYAKARTA",-7.805500000,110.369200000,BCA
INDOMARET MANTRIJERON JL PANJAITAN NO 101 MANTRIJAN YOGYAKARTA,-7.822300000,110.361600000,BCA
ALFAMART DI PANJAITAN YOGYAKARTA JL DI PANJAITAN NO 49 A KEL JOGOKARYAN KEC MANTRIJERON YOGYAKARTA,-7.822500000,110.361600000,BCA
"INDOMARET CANDISARI JL KALIURANG KM 12,6 CANDISARI NGAGLIK SLEMAN",-7.700000000,110.415200000,BCA
"UNIV KRISTEN DUTA WACANA JL. DR. WAHIDIN NO. 5-25, YOGYAKARTA",-7.786200000,110.378500000,BCA
INDOMARET BRIGJEN KATAMSO YOGYA JL BRIGJEN KATAMSO NO 97A YOGYAKARTA,-7.807100000,110.369200000,BCA
"ALFAMART KALIURANG KM 13,1 CRM 1 JL KALIURANG KM 13,1 BESI D-2 SLEMAN",-7.698312000,110.416437000,BCA
INDOMARET MASKAREBET PLG JL AHMAD DAHLAN KEC TALANG KELAPANI PALEMBANG,-2.928300000,104.703800000,BCA
"INTAN SWALAYAN YOGYA 2 JL. KALIURANG KM.14 SLEMAN, JOGJAKARTA",-7.694000000,110.418800000,BCA
ALFAMART TALANG KELAPA JL TALANG KELAPA RT 79/08 KEL TALANG KELAPA KEC ALANG ALANG LEBAR PALEMBANG,-2.936800000,104.690200000,BCA
SUPERINDO SULTAN AGUNG JL. SULTAN AGUNG NO.10 YOGYAKARTA,-7.801600000,110.372800000,BCA
KATAMSO CRM 1 JL BRIGJEND KATAMSO NO 57/183 YOGYAKARTA,-7.809999943,110.369163500,BCA
KATAMSO CRM 2 JL BRIGJEND KATAMSO NO 57/183 YOGYAKARTA,-7.809999943,110.369163500,BCA
KATAMSO CRM 3 JL BRIGJEND KATAMSO NO 57/183 YOGYAKARTA,-7.809999943,110.369163500,BCA
KATAMSO CRM 4 JL BRIGJEND KATAMSO NO 57/183 YOGYAKARTA,-7.809999943,110.369163500,BCA
ALFAMART PARANGTRITIS JL PARANGTRITIS NO 29 YOGYAKARTA,-7.810200000,110.369200000,BCA
ALFAMART KEBUN BUNGA CRM 1 JL KEBUN BUNGA NO 1A SUKARAME KOTA PALEMBANG,-2.918436000,104.716685000,BCA
INDOMARET COLOMBO SLEMAN JL COLOMBO CT VI/26 SAMIRONO SLEMAN,-7.777400000,110.384700000,BCA
"SUPERINDO URIP SUMOHARJO JL. URIP SUMOHARJO, YOGYAKARTA",-7.783061000,110.382321000,BCA
"STMIK IGM KAMPUS B JL. KOL. H. BURLIAN KM. 10, PALEMBANG",-2.921900000,104.709400000,BCA
INDOMARET MASKAREBET II PLG CRM 1 JL MASKAREBET ALANG-ALANG LEBAR PALEMBANG,-2.928278000,104.699467000,BCA
SPBU COCO 4155101 BACIRO JL. KOMPOL BAMBANG SUPRAPTO BACIRO YOGYAKARTA,-7.790300000,110.380000000,BCA
"INDOMARET PRAWIROTAMAN YOGYAKARTA JL PARANGTRITIS MANTRIJERON, BRONTOKUSUMAN YOGYAKARTA",-7.815900000,110.368500000,BCA
